epoch,train_loss,train_dice,val_loss,val_dice,lat_norm2
221,0.106984,0.9307,0.427230,0.7588,2.0272
222,0.109228,0.9303,0.368665,0.7810,1.8767
223,0.098448,0.9365,0.384300,0.7722,1.6964
224,0.094500,0.9391,0.362011,0.7841,1.7406
225,0.095146,0.9388,0.344094,0.7874,1.7716
226,0.102360,0.9343,0.413176,0.7670,1.7566
227,0.105268,0.9322,0.355848,0.7870,1.7717
228,0.107227,0.9308,0.357942,0.7854,1.5973
229,0.101356,0.9345,0.476192,0.7440,1.8051
230,0.107049,0.9303,0.357781,0.7821,1.8486
231,0.100706,0.9346,0.352072,0.7845,1.5460
232,0.096787,0.9371,0.384842,0.7754,1.7994
233,0.100400,0.9345,0.345351,0.7912,1.5130
234,0.098757,0.9353,0.372475,0.7818,1.6318
235,0.095697,0.9385,0.416387,0.7681,1.5124
236,0.100180,0.9353,0.384243,0.7793,1.7836
237,0.098890,0.9360,0.323040,0.7996,1.6579
238,0.097397,0.9371,0.404778,0.7732,1.9968
239,0.107632,0.9302,0.324769,0.7950,1.5710
240,0.104920,0.9318,0.344180,0.7888,1.4766
241,0.109026,0.9292,0.428807,0.7648,1.6586
242,0.105546,0.9319,0.336271,0.7898,1.7086
243,0.095162,0.9386,0.356941,0.7863,1.7533
244,0.097409,0.9365,0.331457,0.7922,1.6988
245,0.106238,0.9318,0.383881,0.7778,1.6672
246,0.100531,0.9351,0.325775,0.7955,1.9026
247,0.104622,0.9329,0.451651,0.7543,1.7960
248,0.097894,0.9372,0.438309,0.7551,1.6792
249,0.096364,0.9374,0.454780,0.7543,1.7773
250,0.094133,0.9390,0.358700,0.7811,1.6682
251,0.103789,0.9337,0.403177,0.7700,1.6516
252,0.094281,0.9392,0.362253,0.7824,1.6185
253,0.105482,0.9317,0.379329,0.7774,1.7550
254,0.099177,0.9358,0.407111,0.7657,1.7758
255,0.097312,0.9368,0.379105,0.7803,1.7341
256,0.090847,0.9413,0.404581,0.7687,1.6732
257,0.094174,0.9387,0.386589,0.7755,1.9438
258,0.089310,0.9420,0.381356,0.7766,1.7077
259,0.089604,0.9419,0.436190,0.7629,1.8266
260,0.088093,0.9429,0.380517,0.7759,1.7034
261,0.090772,0.9411,0.409388,0.7730,1.9323
262,0.090690,0.9415,0.433063,0.7633,1.9276
263,0.086957,0.9438,0.379661,0.7790,1.6254
264,0.090754,0.9410,0.425441,0.7642,1.5821
265,0.103339,0.9330,0.369346,0.7821,1.6626
266,0.105159,0.9322,0.343493,0.7910,1.7942
267,0.127153,0.9195,0.418718,0.7638,1.7295
268,0.119268,0.9234,0.376687,0.7755,1.7949
269,0.130372,0.9162,0.481806,0.7406,1.6958
270,0.120156,0.9219,0.490178,0.7379,1.6304
271,0.114809,0.9246,0.412300,0.7641,1.5471
272,0.094694,0.9383,0.429608,0.7565,1.6874
273,0.090900,0.9411,0.426912,0.7598,1.5791
274,0.089391,0.9425,0.332388,0.7951,1.7665
275,0.099302,0.9358,0.440661,0.7607,1.7733
276,0.098836,0.9365,0.361463,0.7834,1.8230
277,0.086315,0.9447,0.423487,0.7651,1.8069
278,0.088730,0.9429,0.395432,0.7728,1.7911
279,0.087789,0.9434,0.460138,0.7536,1.8274
280,0.089155,0.9423,0.384978,0.7760,1.6608
281,0.090125,0.9418,0.421116,0.7660,1.6763
282,0.086764,0.9443,0.455649,0.7602,1.8325
283,0.090419,0.9418,0.521244,0.7401,1.7623
284,0.104827,0.9331,0.367096,0.7805,1.8314
285,0.102400,0.9344,0.401636,0.7728,1.8712
286,0.088885,0.9427,0.375505,0.7762,1.7467
287,0.084738,0.9455,0.391760,0.7762,1.6623
288,0.087801,0.9433,0.433359,0.7657,1.7846
289,0.097895,0.9370,0.363450,0.7856,1.7189
290,0.094312,0.9380,0.405111,0.7719,1.8422
291,0.086990,0.9434,0.404350,0.7704,1.7309
292,0.088676,0.9428,0.380522,0.7770,1.5987
293,0.092894,0.9390,0.384061,0.7803,1.7155
294,0.097896,0.9357,0.457029,0.7544,1.7536
295,0.097050,0.9367,0.403246,0.7738,1.7373
296,0.089438,0.9419,0.418213,0.7717,1.8739
297,0.089382,0.9421,0.390715,0.7735,1.8950
298,0.082888,0.9464,0.389970,0.7765,1.6344
299,0.080704,0.9480,0.396290,0.7749,1.7487
300,0.079644,0.9489,0.494263,0.7472,1.8480
301,0.088217,0.9426,0.377822,0.7805,1.6954
302,0.100504,0.9351,0.433321,0.7658,1.9395
303,0.119827,0.9235,0.470799,0.7522,1.9330
304,0.124295,0.9189,0.409116,0.7747,1.8045
305,0.128391,0.9160,0.344106,0.7868,1.7547
306,0.118640,0.9224,0.355464,0.7815,1.6095
307,0.102277,0.9329,0.329311,0.7904,1.6895
308,0.096646,0.9372,0.355289,0.7870,1.6828
309,0.085213,0.9453,0.371117,0.7793,1.7980
310,0.082391,0.9469,0.368049,0.7825,1.8040
311,0.080331,0.9487,0.367083,0.7829,1.6811
